,G3,school,sex,address,Pstatus,Medu,Fedu,Mjob,reason,traveltime,higher,internet,romantic,famrel,health,absences,Alcohol,Support,Social,Study,Repeater,Guardian,Fjob
0,2,0,0,1,0,4,4,0,0,2,1,0,0,4,3,6,1.0,1,1.3333333333333333,0.6666666666666666,0,1,1
1,2,0,0,1,1,1,1,0,0,1,1,1,0,5,3,4,1.0,0,1.0,0.6666666666666666,0,1,0
2,2,0,0,1,1,1,1,0,2,1,1,1,0,4,3,10,2.5,1,0.6666666666666666,0.6666666666666666,0,1,0
3,1,0,0,1,1,4,2,1,1,1,1,1,1,3,5,2,1.0,0,1.0,1.5,0,1,0
4,2,0,0,1,1,3,3,2,1,1,1,0,0,4,5,4,1.5,0,0.6666666666666666,0.6666666666666666,0,1,0
5,1,0,1,1,1,4,3,3,3,1,1,1,0,5,5,10,1.5,0,0.5,0.5,0,1,0
6,2,0,1,1,1,2,2,2,1,1,1,1,0,4,3,0,1.0,0,1.0,0.5,0,1,0
7,2,0,0,1,0,4,4,2,1,2,1,0,0,4,1,6,1.0,1,4.0,2.0,0,1,1
8,0,0,1,1,0,3,2,3,1,1,1,1,0,4,1,0,1.0,0,1.0,1.0,0,1,0
9,1,0,1,1,1,3,4,2,1,1,1,1,0,5,5,0,1.0,0,0.2,0.4,0,1,0
10,2,0,0,1,1,4,4,4,3,1,1,1,0,3,2,0,1.5,0,1.0,0.6666666666666666,0,1,0
11,2,0,0,1,1,2,1,3,3,3,1,1,0,5,4,4,1.0,0,1.0,1.5,0,1,0
12,1,0,1,1,1,4,4,1,0,1,1,1,0,4,5,2,2.0,0,1.0,0.3333333333333333,0,1,0
13,2,0,1,1,1,4,3,4,0,2,1,1,0,5,3,2,1.5,0,0.75,0.5,0,1,0
14,1,0,1,1,0,2,2,2,1,1,1,1,1,4,3,0,1.0,0,0.4,0.6,0,0,0
15,1,0,0,1,1,4,4,1,1,1,1,1,0,4,2,4,1.5,0,1.0,0.25,0,1,0
16,1,0,0,1,1,4,4,3,3,1,1,1,0,3,2,6,1.5,0,1.5,1.5,0,1,0
17,2,0,0,1,1,3,3,2,3,3,1,0,0,5,4,4,1.0,1,0.6666666666666666,0.6666666666666666,0,1,0
18,2,0,1,1,1,3,2,3,0,1,1,1,0,5,5,16,3.0,0,1.0,0.2,1,1,0
19,2,0,1,1,1,4,3,1,1,1,1,1,0,3,5,4,2.0,0,3.0,1.0,0,1,0
20,1,0,1,1,1,4,3,4,3,1,1,1,0,4,1,0,1.0,0,0.25,0.5,0,1,0
21,1,0,1,1,1,4,4,1,2,1,1,1,0,5,5,0,1.0,0,0.5,0.25,0,1,0
22,1,0,1,1,1,4,2,4,0,1,1,1,0,4,5,2,2.0,0,0.2,0.4,0,1,0
23,2,0,1,1,1,2,2,2,3,2,1,1,0,5,5,0,3.0,0,1.0,0.5,0,1,0
24,2,0,0,0,1,2,4,3,0,1,1,1,0,4,5,2,1.0,1,0.6666666666666666,1.0,0,1,0
25,2,0,0,1,1,2,2,3,1,1,1,1,0,1,5,14,2.0,0,1.0,0.5,0,1,0
26,2,0,1,1,1,2,2,2,1,1,1,1,0,4,5,2,1.5,0,1.0,0.5,0,1,0
27,1,0,1,1,1,4,2,1,2,1,1,1,0,2,1,4,3.0,0,2.0,0.5,0,1,0
28,2,0,1,1,0,3,4,3,1,1,1,1,0,5,5,4,1.0,1,1.0,0.6666666666666666,0,1,0
29,2,0,1,1,1,4,4,4,1,1,1,1,1,4,5,16,5.0,0,1.25,0.5,0,1,1
30,2,0,1,1,1,4,4,1,1,1,1,1,0,5,5,0,3.5,0,0.5,0.5,0,1,0
31,1,0,1,1,1,4,4,3,3,2,1,1,0,4,5,0,1.0,0,0.3333333333333333,0.6666666666666666,0,1,0
32,1,0,1,0,1,4,3,4,0,1,1,1,1,4,5,0,1.0,0,0.4,0.4,0,1,0
33,2,0,1,1,1,3,3,2,0,1,1,1,0,5,2,0,1.0,0,0.6666666666666666,0.6666666666666666,0,1,0
34,1,0,1,1,1,3,2,2,1,1,1,1,0,5,5,0,1.0,0,0.75,0.25,0,1,0
35,2,0,0,1,1,2,3,2,2,2,1,0,0,3,5,0,1.0,0,0.2,0.2,0,1,0
36,0,0,1,1,1,4,3,4,1,1,1,1,0,5,4,2,1.0,0,0.75,0.75,0,1,0
37,1,0,1,0,0,4,4,2,3,2,1,1,1,2,5,7,1.0,0,0.75,0.75,0,1,1
38,2,0,0,0,1,3,4,3,0,1,1,1,0,4,5,2,1.0,1,0.6666666666666666,1.0,0,1,0
39,2,0,0,0,1,2,2,0,3,1,1,0,0,4,2,8,1.0,1,0.3333333333333333,0.3333333333333333,0,1,0
40,2,0,0,1,1,2,2,2,1,2,1,1,1,3,3,25,1.5,0,1.0,0.6666666666666666,0,1,0
41,2,0,1,1,1,4,4,4,1,1,1,1,1,5,5,8,3.0,0,0.75,0.25,0,0,0
42,0,0,1,1,1,4,4,3,0,1,1,1,0,4,5,2,1.0,0,1.0,0.6666666666666666,0,1,1
43,2,0,1,1,1,2,2,3,0,1,1,1,0,5,1,0,1.0,1,0.25,0.25,0,1,0
44,2,0,0,1,1,2,2,2,0,2,1,1,0,4,5,14,2.0,1,1.0,0.6666666666666666,0,1,0
45,2,0,0,1,0,4,3,2,0,1,1,1,1,5,5,8,1.0,1,1.0,1.0,0,1,0
46,2,0,0,1,0,3,3,2,1,1,1,1,0,2,3,12,2.5,0,1.6666666666666667,0.6666666666666666,0,1,0
47,0,0,1,1,1,4,3,1,3,1,1,1,0,4,2,4,1.0,0,1.0,2.0,0,1,0
48,1,0,1,1,1,4,2,4,1,1,1,0,0,4,5,2,2.0,0,1.0,0.6666666666666666,0,1,0
49,2,0,0,1,1,4,4,3,2,1,1,1,0,4,3,2,1.0,1,1.0,0.5,0,1,1
50,2,0,0,1,1,2,2,3,0,3,1,1,0,4,4,2,2.5,0,1.0,0.6666666666666666,0,1,0
51,2,0,0,1,1,4,2,1,2,1,1,1,0,4,5,2,1.0,0,1.0,0.6666666666666666,0,1,0
52,2,0,1,1,0,4,2,1,2,2,1,0,0,5,5,6,3.5,0,1.0,0.2,0,1,0
53,2,0,0,1,1,4,4,3,0,1,1,1,0,3,5,0,2.5,1,1.3333333333333333,0.3333333333333333,0,1,0
54,2,0,0,1,0,3,3,2,2,1,1,1,0,5,1,6,4.0,0,1.3333333333333333,0.3333333333333333,0,1,0
55,2,0,0,1,0,2,1,2,2,1,1,1,1,5,2,8,1.0,0,1.3333333333333333,0.6666666666666666,0,1,0
56,1,0,0,1,0,4,3,3,3,1,1,1,0,4,1,0,1.0,0,0.6666666666666666,0.6666666666666666,0,1,0
57,1,0,1,1,1,4,4,4,3,1,1,0,0,3,5,4,1.0,0,1.0,1.0,0,1,0
58,2,0,1,1,1,1,2,2,1,1,1,1,0,4,5,2,1.0,1,0.6666666666666666,0.6666666666666666,0,1,0
59,1,0,0,1,1,4,2,3,0,1,1,1,0,4,5,2,1.0,0,1.5,1.0,0,1,0
60,2,0,0,0,1,4,4,1,2,1,1,0,0,2,4,6,2.5,0,1.0,0.5,0,1,1
61,2,0,0,1,1,1,1,3,0,4,1,1,1,5,5,6,5.0,1,1.0,0.2,0,1,0
62,2,0,0,1,1,1,2,2,3,1,1,1,0,4,1,4,1.0,1,0.75,0.5,0,1,0
63,2,0,0,1,1,4,3,4,1,1,1,1,0,3,4,2,3.0,1,1.0,0.75,0,1,0
64,2,0,0,1,1,4,3,3,3,1,1,1,1,4,2,0,3.0,1,1.0,0.5,0,1,0
65,1,0,0,1,1,4,3,4,0,3,1,1,0,5,1,2,1.5,0,0.75,0.5,0,1,0
66,2,0,1,1,0,4,4,2,3,1,1,1,1,1,3,4,5.0,0,1.0,1.3333333333333333,0,1,0
67,2,0,0,1,1,3,1,3,0,1,1,1,0,4,5,4,1.5,1,1.0,1.3333333333333333,0,1,0
68,2,0,0,0,1,2,2,1,3,2,1,1,0,4,4,2,2.0,1,3.0,2.0,0,1,0
69,1,0,0,0,1,3,1,2,3,2,1,1,0,4,3,12,2.5,0,0.5,1.0,0,1,0
70,1,0,1,1,1,3,1,2,3,2,1,1,0,4,5,0,1.0,0,0.6666666666666666,1.3333333333333333,0,1,0
71,2,0,1,1,1,4,2,2,0,1,1,1,0,3,3,0,1.0,0,1.0,1.3333333333333333,0,1,0
72,2,0,0,0,1,1,1,2,3,1,1,1,1,3,5,2,3.0,1,1.3333333333333333,0.6666666666666666,0,1,0
73,1,0,1,1,1,3,1,2,3,1,1,0,0,5,5,2,2.0,0,0.6666666666666666,0.3333333333333333,0,1,0
74,2,0,0,1,1,3,3,2,1,1,1,1,0,4,5,54,3.0,1,1.0,0.6666666666666666,0,1,0
75,2,0,1,1,1,4,3,4,1,1,1,1,0,4,5,6,2.5,0,1.0,0.6666666666666666,0,1,0
76,2,0,1,1,1,4,0,4,0,2,1,1,0,3,1,8,1.0,0,0.75,1.0,0,1,0
77,2,0,0,1,1,2,2,2,3,1,1,1,1,5,3,0,2.0,0,1.5,2.0,0,1,0
78,2,0,1,1,1,2,1,2,1,2,0,1,0,4,3,2,1.0,1,0.2,0.2,1,1,0
79,2,0,0,1,1,3,4,0,0,1,1,1,0,2,3,12,1.5,0,0.75,0.5,0,1,0
80,2,0,1,1,1,2,3,2,0,1,1,1,1,3,3,2,2.0,1,1.0,0.5,0,1,0
81,2,0,1,1,1,2,3,2,1,1,1,1,0,5,5,4,1.5,1,0.6666666666666666,1.0,0,1,0
82,2,0,0,1,1,3,2,3,3,1,1,1,0,4,5,10,1.0,0,1.0,0.5,0,1,0
83,1,0,1,1,1,2,2,3,1,2,1,1,0,5,4,4,2.0,0,1.0,0.6666666666666666,0,1,0
84,2,0,0,1,1,1,1,2,1,1,1,1,0,4,4,2,2.5,0,0.6666666666666666,0.6666666666666666,0,1,0
85,2,0,0,1,1,4,4,3,3,2,1,1,1,4,5,6,2.5,0,1.0,0.5,0,1,0
86,2,0,0,1,1,2,2,0,0,1,1,0,0,4,2,4,1.5,0,1.3333333333333333,0.6666666666666666,0,1,0
87,1,0,0,1,1,4,2,2,3,1,1,1,0,5,1,4,2.0,0,1.0,1.0,0,1,0
88,2,0,1,1,1,2,2,3,3,2,1,1,0,4,3,12,1.0,0,0.5,0.5,0,1,0
89,2,0,1,1,0,4,4,4,3,1,1,0,0,4,5,18,4.0,0,3.0,2.0,0,1,0
90,2,0,0,1,1,3,3,2,1,1,1,1,1,4,4,0,2.0,0,1.0,1.0,0,1,0
91,0,0,0,1,1,4,3,3,3,1,1,1,0,4,1,4,2.0,0,1.0,0.2,0,1,0
92,2,0,0,1,1,3,1,2,1,1,1,0,0,3,2,4,2.5,1,1.0,0.6666666666666666,0,1,0
93,2,0,0,1,1,4,2,4,1,2,1,1,0,5,1,0,1.0,0,1.0,0.6666666666666666,0,1,0
94,1,0,1,1,1,2,2,3,3,1,1,1,0,4,4,6,1.0,0,1.3333333333333333,1.3333333333333333,0,1,0
95,2,0,0,0,1,1,1,0,1,2,1,1,0,3,1,2,1.0,1,2.0,4.0,0,1,0
96,1,0,1,0,1,4,3,3,3,2,1,1,0,3,4,2,1.0,1,1.0,0.3333333333333333,0,1,0
97,2,0,0,1,1,2,1,2,0,1,1,0,1,4,5,2,1.0,0,1.6666666666666667,0.6666666666666666,0,1,0
98,1,0,0,1,1,4,4,2,3,1,1,1,0,5,1,6,1.5,0,1.3333333333333333,0.3333333333333333,0,1,0
99,2,0,0,1,1,4,3,2,0,1,1,1,0,5,3,0,1.0,1,1.6666666666666667,1.0,0,1,0
100,2,0,1,1,1,4,4,3,2,1,1,1,0,4,4,14,5.0,1,1.0,0.2,0,1,0
101,1,0,1,1,1,4,4,3,2,1,1,1,1,4,4,0,1.0,0,0.75,0.75,0,1,1
102,1,0,1,1,1,4,4,3,0,1,1,1,0,5,5,4,1.0,0,1.0,0.3333333333333333,0,1,0
103,2,0,0,1,1,3,2,3,1,2,1,1,0,4,2,26,1.0,1,1.6666666666666667,0.6666666666666666,0,1,0
104,0,0,1,1,0,3,4,3,0,1,1,1,0,5,1,0,1.0,0,1.0,0.5,0,1,0
105,2,0,0,1,0,3,3,2,3,1,1,0,0,4,4,10,1.0,1,1.0,1.3333333333333333,0,1,0
106,2,0,0,1,1,2,2,2,0,1,1,1,0,5,3,8,1.0,1,2.0,4.0,0,1,0
107,0,0,1,1,1,3,3,3,1,1,1,1,0,5,5,2,1.0,0,1.0,1.0,0,1,0
108,2,0,1,0,1,4,4,2,1,4,1,1,1,1,1,6,4.0,0,1.6666666666666667,1.3333333333333333,0,1,0
109,1,0,0,1,1,4,4,1,2,1,1,1,1,5,4,4,1.0,0,1.25,0.75,0,1,0
110,0,0,1,1,0,4,4,4,0,1,1,1,0,5,4,6,1.0,0,0.6,0.2,0,1,1
111,2,0,0,0,1,3,3,3,3,1,1,1,0,4,2,0,1.0,1,2.0,3.0,0,1,0
112,2,0,0,1,1,2,2,0,1,1,1,1,0,3,5,6,1.0,1,2.0,2.0,0,1,0
113,0,0,1,1,1,4,2,4,0,1,1,1,0,3,3,10,1.0,0,0.4,0.2,0,1,0
114,2,0,1,0,1,2,1,1,3,1,1,1,1,5,5,8,1.0,0,0.5,0.5,0,1,0
115,1,0,1,1,1,4,4,4,0,1,1,1,0,5,5,2,1.5,0,1.0,0.5,0,1,1
116,1,0,1,1,1,4,4,2,3,2,1,0,0,4,2,2,1.0,0,0.75,0.5,0,1,1
117,2,0,1,1,1,3,3,2,1,2,1,1,0,5,5,0,1.0,0,0.5,0.25,0,1,0
118,2,0,1,0,1,1,3,2,0,3,1,1,0,5,5,20,2.5,0,2.0,1.0,1,1,0
119,2,0,1,1,1,3,4,2,3,1,1,1,0,3,4,6,1.5,0,0.75,0.25,0,1,0
120,1,0,0,1,1,1,2,0,0,1,1,1,0,3,1,2,1.5,0,1.5,1.0,0,1,0
121,1,0,1,1,1,2,2,3,1,1,1,1,0,5,5,6,1.5,0,0.8,0.8,0,1,0
122,2,0,0,1,1,2,4,2,0,2,1,1,1,4,5,2,1.5,0,1.0,1.0,0,1,0
123,2,0,1,1,1,4,4,1,0,1,1,1,0,3,5,18,2.5,0,1.0,0.25,0,1,0
124,2,0,0,1,1,2,2,2,1,1,1,1,1,5,5,0,1.0,0,1.0,0.5,0,1,0
125,2,0,1,1,1,3,4,3,1,1,1,1,0,5,5,0,2.5,1,1.0,0.2,0,1,0
126,2,0,0,1,0,3,4,2,1,1,1,1,1,5,1,0,1.0,1,0.6666666666666666,0.6666666666666666,0,1,0
127,2,0,0,1,1,0,1,0,0,1,0,0,0,3,5,2,1.0,0,0.5,0.5,1,0,0
128,2,0,1,0,1,2,2,3,3,1,1,1,0,3,4,0,1.5,0,1.0,0.3333333333333333,1,1,0
129,0,0,1,0,1,4,4,4,0,1,1,1,0,3,4,8,3.5,0,1.0,0.2,0,1,1
130,2,0,0,0,1,3,4,3,0,2,1,1,1,4,5,0,2.0,0,1.0,1.5,0,1,1
131,2,0,0,1,1,1,1,0,0,3,1,1,1,4,4,0,1.5,0,1.0,0.3333333333333333,0,1,0
132,2,0,0,1,1,2,2,2,0,1,1,1,1,3,5,12,2.0,0,1.0,0.25,0,1,0
133,2,0,0,1,0,3,4,3,0,1,1,1,0,3,5,16,2.5,0,0.5,0.5,0,1,0
134,2,0,1,0,1,3,4,0,0,4,1,0,1,5,5,0,1.0,0,1.0,0.6666666666666666,0,1,1
135,2,0,0,1,1,4,4,3,0,1,1,1,1,4,5,0,1.0,0,1.0,1.0,0,1,0
136,2,0,1,0,1,3,4,0,0,3,1,0,0,5,5,0,3.0,0,1.25,0.5,0,1,0
137,2,0,0,1,0,3,3,2,0,2,1,1,1,4,5,0,1.0,0,0.6666666666666666,0.3333333333333333,0,0,0
138,2,0,1,1,1,1,1,3,0,1,1,0,1,4,5,0,2.0,0,1.0,0.5,0,1,0
139,1,0,0,1,1,4,4,4,0,2,1,1,0,4,5,0,1.0,0,0.6666666666666666,0.3333333333333333,0,1,1
140,2,0,1,1,1,4,3,4,0,2,1,1,0,2,3,0,1.0,1,1.0,2.0,0,1,0
141,2,0,1,1,1,2,2,3,3,2,1,1,0,2,2,8,2.0,0,1.0,0.3333333333333333,0,1,0
142,2,0,0,1,1,4,4,4,0,1,1,1,0,4,5,2,1.0,0,1.0,1.5,0,1,0
143,2,0,0,1,1,1,1,0,0,1,1,1,0,3,1,2,3.0,0,1.0,0.25,0,1,0
144,2,0,1,1,1,2,1,2,1,1,1,1,0,5,5,0,1.5,0,1.25,0.25,1,1,0
145,2,0,0,1,1,1,1,2,0,1,1,1,0,4,5,0,1.5,0,0.5,0.5,0,1,0
146,2,0,0,1,1,3,2,1,1,1,1,1,0,3,3,0,1.0,0,0.6666666666666666,0.6666666666666666,0,1,0
147,2,0,0,1,1,1,2,0,0,1,1,1,0,4,5,2,1.0,0,0.6666666666666666,0.6666666666666666,0,1,0
148,2,0,1,1,1,4,4,4,0,1,0,1,1,3,5,0,1.5,0,0.6666666666666666,0.3333333333333333,0,1,1
149,2,0,1,1,0,2,1,3,0,4,1,1,0,4,5,0,3.5,0,1.0,0.2,0,1,0
150,2,0,1,1,1,1,1,2,0,1,0,1,1,2,4,0,3.5,0,1.6666666666666667,0.3333333333333333,1,1,0
151,1,0,1,1,1,2,1,0,0,1,1,0,1,4,5,6,4.0,0,1.0,0.25,0,1,0
152,2,0,0,0,1,3,3,3,3,2,1,1,1,4,3,8,2.5,0,0.5,1.5,0,0,0
153,2,0,1,1,1,3,2,3,1,1,0,1,1,4,4,0,1.0,0,0.8,0.2,1,1,0
154,2,0,0,1,1,4,4,2,0,1,1,0,1,4,4,0,1.0,1,0.5,0.5,0,1,1
155,2,0,1,0,1,2,3,0,0,1,1,0,0,4,1,2,1.0,1,1.0,0.5,0,1,0
156,2,0,1,0,1,1,2,2,3,1,1,0,0,2,5,8,3.0,0,1.0,0.5,0,1,0
157,2,0,0,0,1,1,1,0,0,3,1,0,0,5,4,6,3.0,0,2.5,0.5,1,1,0
158,1,0,1,0,1,2,2,0,0,3,1,0,0,4,3,2,1.5,0,1.0,0.5,0,1,0
159,2,0,1,1,1,3,3,2,0,1,1,1,1,4,5,4,4.0,0,1.0,0.4,0,1,0
160,2,0,1,0,1,2,1,0,0,2,0,1,1,3,5,0,2.0,0,0.6666666666666666,0.3333333333333333,1,1,0
161,2,0,1,0,1,3,2,2,0,2,1,1,1,4,3,6,2.5,1,1.0,0.5,0,1,0
162,2,0,1,1,1,1,2,2,0,2,1,0,0,4,5,0,3.0,0,1.0,0.25,0,1,0
163,2,0,1,1,1,1,3,0,0,1,0,1,0,5,2,2,2.5,0,1.0,0.3333333333333333,0,1,0
164,2,0,1,0,1,1,1,2,0,4,0,0,1,5,5,0,3.0,0,1.6666666666666667,0.6666666666666666,1,1,0
165,2,0,1,1,1,3,2,3,0,2,0,0,0,4,2,16,1.0,0,0.4,0.2,0,1,0
166,2,0,1,1,1,2,2,2,0,1,0,1,0,4,4,4,3.0,0,1.6666666666666667,0.6666666666666666,0,1,0
167,1,0,0,1,1,4,2,1,1,1,1,1,1,4,3,0,1.0,0,1.5,1.0,0,1,0
168,2,0,0,1,1,2,2,2,1,1,1,1,0,5,4,0,1.0,0,5.0,2.0,0,1,0
169,1,0,0,1,1,4,4,1,3,1,1,1,1,4,3,0,1.0,0,0.5,0.5,0,1,0
170,2,0,1,1,1,3,4,2,0,3,1,1,0,3,2,0,3.0,0,1.25,0.25,0,1,0
171,1,0,1,1,1,1,0,2,3,2,1,1,1,4,3,2,1.0,0,0.6666666666666666,0.6666666666666666,0,1,0
172,2,0,1,1,1,4,4,4,3,1,1,1,0,4,5,0,2.0,0,1.0,0.5,0,1,0
173,2,0,0,1,1,1,3,0,1,1,1,1,1,4,3,0,1.0,0,1.6666666666666667,0.6666666666666666,0,1,0
174,2,0,0,1,1,3,3,2,3,2,1,1,0,4,4,4,1.0,0,1.25,0.5,0,1,0
175,2,0,1,1,1,4,3,4,0,2,1,1,0,4,4,4,4.0,0,1.0,0.5,0,1,0
176,2,0,0,1,1,2,2,3,3,2,1,1,0,3,5,2,2.5,0,1.0,0.5,0,1,0
177,2,0,1,1,1,3,3,2,3,1,1,1,0,4,4,4,2.5,0,1.3333333333333333,0.6666666666666666,0,1,0
178,2,0,1,0,1,4,2,4,2,1,1,1,1,4,3,10,3.5,0,1.0,0.3333333333333333,0,1,0
179,2,0,1,1,1,4,3,2,0,1,1,1,1,5,2,4,1.0,0,1.5,1.0,0,1,0
180,2,0,1,1,1,4,3,4,1,1,1,1,0,3,3,10,2.5,0,0.75,0.5,0,1,0
181,2,0,1,1,1,3,3,3,1,1,1,1,1,4,3,2,1.5,0,1.5,1.0,0,1,0
182,1,0,0,1,1,2,4,3,3,1,1,0,0,5,5,0,2.5,0,0.5,0.5,0,1,0
183,2,0,0,1,1,3,3,2,3,1,1,1,1,5,1,56,2.5,0,1.0,0.6666666666666666,0,1,0
184,2,0,0,1,1,3,2,2,3,1,1,1,0,1,1,14,1.5,0,1.0,1.0,0,1,0
185,2,0,1,1,1,3,3,3,2,1,1,1,1,4,4,12,2.5,0,1.3333333333333333,0.6666666666666666,0,1,0
186,2,0,1,1,1,1,2,3,2,1,1,1,1,3,3,2,1.5,0,1.0,0.3333333333333333,0,1,0
187,1,0,1,1,1,2,1,2,0,1,1,1,1,4,5,0,1.5,0,1.5,1.0,0,1,0
188,2,0,0,1,0,3,3,1,3,1,1,1,1,3,3,6,2.0,0,1.0,0.6666666666666666,0,1,0
189,2,0,1,0,1,1,2,0,1,1,1,0,0,3,3,4,3.0,0,3.0,2.0,0,1,0
190,2,0,0,1,1,2,3,3,0,1,1,1,0,4,2,10,1.0,0,1.0,0.6666666666666666,0,1,0
191,2,0,0,1,1,1,1,0,0,1,1,1,0,5,3,0,1.0,0,1.0,0.6666666666666666,0,1,0
192,2,0,1,1,1,1,2,0,2,2,1,1,0,4,5,12,4.5,0,1.0,0.5,0,0,0
193,2,0,1,0,1,3,3,3,3,1,1,1,0,4,5,8,3.5,0,0.6666666666666666,0.3333333333333333,0,1,0
194,1,0,1,1,1,2,3,2,1,2,1,1,0,5,3,0,1.0,0,1.0,0.3333333333333333,0,1,0
